"Year","trend","lower_ci","upper_ci","species"
1980,1,1,1,"Ruby-throated Hummingbird"
1981,1.12517907028381,1.02931882529171,1.21853414459061,"Ruby-throated Hummingbird"
1982,1.25582923508021,1.05904869192772,1.46508770412591,"Ruby-throated Hummingbird"
1983,1.37915834062876,1.08378927444908,1.7125517340769,"Ruby-throated Hummingbird"
1984,1.47828975628588,1.10743724134485,1.9188812950389,"Ruby-throated Hummingbird"
1985,1.5341018707314,1.12726894255461,2.06490194276935,"Ruby-throated Hummingbird"
1986,1.53530973275998,1.13748815201844,2.07247145473759,"Ruby-throated Hummingbird"
1987,1.50080983487361,1.10896058623102,2.0176305631534,"Ruby-throated Hummingbird"
1988,1.45745299955387,1.07796765168945,1.95249412695591,"Ruby-throated Hummingbird"
1989,1.43005929191997,1.07812646534298,1.91974633862489,"Ruby-throated Hummingbird"
1990,1.44196756424863,1.08500279602506,1.94165071435339,"Ruby-throated Hummingbird"
1991,1.51307128022487,1.15365075434953,2.0217721188663,"Ruby-throated Hummingbird"
1992,1.64423051917421,1.27508871819298,2.15619989739906,"Ruby-throated Hummingbird"
1993,1.83346040233229,1.42166605476028,2.41264261023876,"Ruby-throated Hummingbird"
1994,2.07870073435838,1.60735699904252,2.71675216231132,"Ruby-throated Hummingbird"
1995,2.37426997852971,1.80794660590766,3.12196408940663,"Ruby-throated Hummingbird"
1996,2.70932152256054,2.07898642270994,3.54566161237494,"Ruby-throated Hummingbird"
1997,3.07349156115437,2.3592368649654,3.97468270605348,"Ruby-throated Hummingbird"
1998,3.45192839351702,2.67429997349918,4.4388904656284,"Ruby-throated Hummingbird"
1999,3.82267212301625,2.99026317831838,4.93339951677642,"Ruby-throated Hummingbird"
2000,4.15685697377955,3.26514441151819,5.38019839432152,"Ruby-throated Hummingbird"
2001,4.42751929997156,3.47855150429246,5.71319266663214,"Ruby-throated Hummingbird"
2002,4.63668037006432,3.63003861248469,6.02489561047294,"Ruby-throated Hummingbird"
2003,4.8000579419973,3.73511315629114,6.18348301797788,"Ruby-throated Hummingbird"
2004,4.93878063486512,3.84630668907918,6.43859251242342,"Ruby-throated Hummingbird"
2005,5.0777140453001,3.94126141590877,6.66245661518465,"Ruby-throated Hummingbird"
2006,5.23366829029251,4.05430847401567,6.90961170410517,"Ruby-throated Hummingbird"
2007,5.3794686295184,4.21315512004022,7.10339888776268,"Ruby-throated Hummingbird"
2008,5.47326494355868,4.26512106487123,7.19559089096346,"Ruby-throated Hummingbird"
2009,5.47149674433609,4.24374573452478,7.13808534905063,"Ruby-throated Hummingbird"
2010,5.33454121802242,4.14538383519267,6.95034967826459,"Ruby-throated Hummingbird"
2011,5.05195134431906,3.94622406783532,6.51412890284139,"Ruby-throated Hummingbird"
2012,4.69112696110119,3.66938609500178,5.97224967437769,"Ruby-throated Hummingbird"
2013,4.32610614148232,3.38277585629978,5.52282916122156,"Ruby-throated Hummingbird"
2014,4.01296270013561,3.12044978676151,5.12747861546043,"Ruby-throated Hummingbird"
2015,3.7925128103713,2.95717820914091,4.81926947997399,"Ruby-throated Hummingbird"
2016,3.68579471739422,2.90119472745825,4.70042085824525,"Ruby-throated Hummingbird"
2017,3.66719662252788,2.90209633049567,4.72440347604159,"Ruby-throated Hummingbird"
2018,3.70591272138335,2.93419947809156,4.80925752958821,"Ruby-throated Hummingbird"
2019,3.77374967495165,2.96752552961099,4.88877060165261,"Ruby-throated Hummingbird"
2020,3.84173030390061,3.0046976304106,5.02199165633054,"Ruby-throated Hummingbird"
2021,3.88515058521998,3.06511471704792,5.12187826316642,"Ruby-throated Hummingbird"
2022,3.90334307047228,3.07378914175074,5.12027221862895,"Ruby-throated Hummingbird"
2023,3.90235256905567,3.06576735248013,5.16234277718791,"Ruby-throated Hummingbird"
2024,3.88857273935531,3.0208852562433,5.10133353670555,"Ruby-throated Hummingbird"
2025,3.86848503540638,2.98197759262443,5.10188000638989,"Ruby-throated Hummingbird"
1980,1,1,1,"Red-tailed Hawk"
1981,1.0632948772787,1.01960964141179,1.10609887240768,"Red-tailed Hawk"
1982,1.13058773536244,1.04243090786565,1.22005595670912,"Red-tailed Hawk"
1983,1.20212179707892,1.07275313658121,1.34074171653684,"Red-tailed Hawk"
1984,1.27815391437811,1.11505958331074,1.46946925268647,"Red-tailed Hawk"
1985,1.35895521365877,1.17146579610609,1.58176828171784,"Red-tailed Hawk"
1986,1.44488408177889,1.23419088255828,1.69355560394598,"Red-tailed Hawk"
1987,1.53664044755179,1.31376358035868,1.78155529184906,"Red-tailed Hawk"
1988,1.6351220075565,1.39985098661973,1.89648248531201,"Red-tailed Hawk"
1989,1.74138169159928,1.49460002247354,2.01354877922712,"Red-tailed Hawk"
1990,1.85665387707366,1.59050798872,2.13778844184637,"Red-tailed Hawk"
